@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R52-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=b numeric
@attribute var_0=a numeric
@attribute var_0=? numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3=u numeric
@attribute var_3=y numeric
@attribute var_3=? numeric
@attribute var_3=l numeric
@attribute var_4=g numeric
@attribute var_4=p numeric
@attribute var_4=? numeric
@attribute var_4=gg numeric
@attribute var_5=w numeric
@attribute var_5=q numeric
@attribute var_5=m numeric
@attribute var_5=r numeric
@attribute var_5=cc numeric
@attribute var_5=k numeric
@attribute var_5=c numeric
@attribute var_5=d numeric
@attribute var_5=x numeric
@attribute var_5=i numeric
@attribute var_5=e numeric
@attribute var_5=aa numeric
@attribute var_5=ff numeric
@attribute var_5=j numeric
@attribute var_5=? numeric
@attribute var_6=v numeric
@attribute var_6=h numeric
@attribute var_6=bb numeric
@attribute var_6=ff numeric
@attribute var_6=j numeric
@attribute var_6=z numeric
@attribute var_6=? numeric
@attribute var_6=o numeric
@attribute var_6=dd numeric
@attribute var_6=n numeric
@attribute var_7 numeric
@attribute var_8=t numeric
@attribute var_8=f numeric
@attribute var_9=t numeric
@attribute var_9=f numeric
@attribute var_10 numeric
@attribute var_11=f numeric
@attribute var_11=t numeric
@attribute var_12=g numeric
@attribute var_12=s numeric
@attribute var_12=p numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute label {0,1}

@data
1,0,0,0.466984,0.080357,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.026316,1,0,0,1,0,1,0,1,0,0,0.28,0,0.683985,0.257935,0.002779,0.130396,0.421186,0.317408,0.713847,0.274782,0.402188,0.354027,0.147695,0.357511,0.901918,0.229004,0.908601,0
1,0,0,0.09127,0.010357,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.010175,0,1,0,1,0,1,0,1,0,0,0.14,0.00364,0.586568,0.388976,0.516093,0.893831,0.498566,0.997306,0.432254,0.278992,0.34621,0.859944,0.033777,0.469701,0.906611,0.020605,0.982677,0
1,0,0,0.435238,0.044643,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,1,0,1,0,0,0,0.00195,0.530686,0.133268,0.994199,0.860603,0.002392,0.982098,0.935005,0.284134,0.505857,0.861726,0.576012,0.744594,0.699034,0.218259,0.027963,0
1,0,0,0.117778,0.008929,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,1,0,1,0,0,0.14,0.00204,0.857729,0.831299,0.595481,0.53239,0.552351,0.18491,0.727336,0.556352,0.113125,0.276255,0.45863,0.272604,0.855244,0.167361,0.932848,0
0,1,0,0.546349,0.047679,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.011754,0,1,0,1,0,1,0,1,0,0,0,0.0012,0.536256,0.404553,0.33093,0.456014,0.469353,0.386242,0.939254,0.727639,0.890062,0.089259,0.152142,0.352382,0.706384,0.161017,0.422489,0
1,0,0,0.252698,0.026786,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.001404,0,1,0,1,0,1,0,1,0,0,0.12,0,0.538507,0.133401,0.919971,0.786731,0.266611,0.515518,0.474368,0.061016,0.657071,0.887871,0.457596,0.991001,0.262234,0.255447,0.006821,0
0,1,0,0.399524,0.059464,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,1,0,1,0,0,0,0.0039,0.581662,0.645932,0.67577,0.833503,0.793741,0.8204,0.242154,0.212411,0.839964,0.290405,0.753621,0.696285,0.199975,0.541972,0.722423,0
1,0,0,0.413968,0.017857,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,1,0,0,1,0,1,0,0,1,0,0.144,0,0.203403,0.748881,0.694784,0.382945,0.00641,0.107256,0.779631,0.962396,0.006386,0.058563,0.00282,0.676983,0.228271,0.621281,0.481848,0
1,0,0,0.134921,0.016429,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,0,0,1,1,0,0,0.14,0.00055,0.276295,0.304156,0.683656,0.829276,0.387906,0.695863,0.200064,0.543666,0.0483,0.182115,0.617314,0.251068,0.394111,0.781905,0.502022,0
1,0,0,0.117778,0.03125,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,1,0,1,0,0,0.14,0.00204,0.183724,0.317246,0.631741,0.636346,0.844324,0.999198,0.951439,0.990489,0.345378,0.209448,0.789624,0.119453,0.522376,0.046507,0.754695,0
0,1,0,0.100476,0.044643,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.793576,0.999094,0.414101,0.282156,0.431045,0.800525,0.125777,0.134573,0.6355,0.047771,0.956342,0.941396,0.197407,0.611965,0.320982,0
1,0,0,0.088571,0.389821,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.020526,0,1,1,0,0.029851,0,1,1,0,0,0.1,0.00007,0.662888,0.406389,0.762795,0.428839,0.175949,0.816392,0.411787,0.29549,0.24162,0.983334,0.694143,0.135107,0.126278,0.924351,0.166093,0
1,0,0,0.187778,0.011964,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.122807,0,1,0,1,0,0,1,1,0,0,0.17,0,0.962318,0.652874,0.638052,0.751559,0.495515,0.718119,0.019898,0.044292,0.213298,0.259974,0.969191,0.40871,0.842731,0.155991,0.916902,0
0,1,0,0.884921,0.214286,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.743648,0.379926,0.446674,0.917433,0.002108,0.770503,0.987681,0.284007,0.994091,0.332838,0.383481,0.334631,0.911432,0.430077,0.111689,0
1,0,0,0.280476,0.553571,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,1,0,0,1,0,1,0,1,0,0,0.06,0,0.228283,0.164757,0.208471,0.117683,0.329499,0.321249,0.324495,0.323736,0.340494,0.673114,0.498786,0.344404,0.397022,0.408855,0.560853,0
1,0,0,0.304286,0.089286,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.061404,0,1,1,0,0.029851,0,1,1,0,0,0.36,0,0.11413,0.218709,0.591654,0.476892,0.827853,0.497206,0.588921,0.408819,0.81563,0.662978,0.841089,0.82349,0.717346,0.702571,0.456966,0
0,1,0,0.062222,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.043,0,0.674477,0.160727,0.156184,0.096604,0.715918,0.027691,0.440932,0.313774,0.323645,0.101615,0.016099,0.031569,0.7272,0.94576,0.699622,0
1,0,0,0.612381,0.049107,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33193,1,0,0,1,0,0,1,1,0,0,0.1,0.001,0.578057,0.128327,0.752754,0.039451,0.405911,0.873916,0.016268,0.136266,0.999343,0.179659,0.616248,0.056934,0.58907,0.556493,0.210712,0
1,0,0,0.216984,0.446429,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,0,1,1,0,0,0.36,0,0.613975,0.144615,0.241153,0.791591,0.089623,0.331102,0.456532,0.959677,0.752768,0.65233,0.365528,0.381603,0.224153,0.06279,0.631634,0
0,1,0,0.138889,0.392857,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.105263,1,0,0,1,0,0,1,1,0,0,0.134,0,0.987516,0.054175,0.973739,0.688751,0.770851,0.93229,0.358413,0.981699,0.58992,0.17318,0.717824,0.820506,0.037823,0.729623,0.189323,0
1,0,0,0.255238,0.125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005789,0,1,0,1,0,1,0,1,0,0,0.108,0,0.592518,0.025746,0.128198,0.330023,0.646279,0.439615,0.232564,0.70825,0.367193,0.070569,0.299318,0.911276,0.746319,0.778343,0.424,0
0,1,0,0.288413,0.111607,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.106667,0,1,1,0,0.029851,0,1,1,0,0,0.1,0.00004,0.513301,0.221711,0.194444,0.30964,0.253022,0.541757,0.382675,0.148411,0.064198,0.206721,0.597485,0.95364,0.182216,0.078301,0.464778,0
1,0,0,0.43127,0.080357,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.350877,1,0,0,1,0,0,1,1,0,0,0.088,0,0.003803,0.282667,0.006208,0.110993,0.904682,0.558704,0.903448,0.442281,0.550993,0.462554,0.773959,0.175998,0.412885,0.285734,0.447866,0
1,0,0,0.148095,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.035088,0,1,1,0,0.164179,1,0,0,1,0,0,0,0.119418,0.98759,0.064972,0.802763,0.933059,0.502689,0.429805,0.28562,0.719285,0.237282,0.126902,0.175244,0.200772,0.9622,0.846842,0
1,0,0,0.146825,0.026786,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.017544,1,0,0,1,0,0,1,0,1,0,0.16,0,0.019015,0.901492,0.468731,0.341769,0.524076,0.989922,0.905641,0.404133,0.739215,0.918041,0.107995,0.47341,0.176193,0.278531,0.456957,0
1,0,0,0.484127,0.392857,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052632,1,0,0,1,0,1,0,0,1,0,0,0,0.157711,0.390195,0.855295,0.902674,0.475225,0.657274,0.4362,0.59971,0.641692,0.020811,0.809407,0.953384,0.043767,0.602112,0.541068,0
1,0,0,0.236825,0.517857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,0,1,0,1,0,0,0,0.00286,0.551493,0.080677,0.506021,0.173553,0.860819,0.258255,0.922594,0.562095,0.350637,0.242898,0.780138,0.147225,0.452427,0.733142,0.775977,0
1,0,0,0.441746,0.0625,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.007368,1,0,0,1,0,1,0,1,0,0,0.08,0,0.17073,0.135253,0.248328,0.846853,0.559789,0.255875,0.847785,0.710179,0.479568,0.741386,0.293428,0.330332,0.099854,0.79165,0.656473,0
1,0,0,0.099206,0.044643,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,0,1,0,1,0,0,0.07,0.00004,0.452019,0.573429,0.005689,0.582096,0.552834,0.573453,0.924677,0.196849,0.172137,0.461855,0.04785,0.46568,0.455088,0.060906,0.91383,0
1,0,0,0.105873,0.03875,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052632,0,1,0,1,0,1,0,1,0,0,0.054,0.00007,0.962588,0.450134,0.505391,0.933898,0.491339,0.056961,0.801158,0.484788,0.626572,0.450213,0.108949,0.560205,0.94855,0.633684,0.040254,0
0,1,0,0.396825,0.053571,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.038,0,0.791519,0.417955,0.749289,0.072154,0.92079,0.142156,0.672202,0.120398,0.822748,0.127485,0.905539,0.905012,0.519508,0.289282,0.331172,0
0,1,0,0.141587,0.011964,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.026316,0,1,0,1,0,1,0,0,1,0,0.08,0,0.367317,0.442459,0.315539,0.582462,0.684047,0.986571,0.143605,0.661054,0.636262,0.444792,0.137161,0.226706,0.333366,0.139237,0.293325,0
1,0,0,0.374286,0.095179,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005789,0,1,0,1,0,0,1,1,0,0,0,0.00501,0.714307,0.830048,0.350721,0.633902,0.294063,0.917146,0.304449,0.297099,0.488158,0.105842,0.690887,0.240881,0.438672,0.025408,0.529009,0
1,0,0,0.296349,0.077321,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0.06,0,0.682669,0.754933,0.527016,0.605245,0.980415,0.932711,0.680387,0.454427,0.678137,0.29941,0.77737,0.617898,0.613852,0.552198,0.993458,0
0,1,0,0.390159,0.157679,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.004386,0,1,0,1,0,1,0,1,0,0,0.08,0,0.011546,0.769301,0.281294,0.133536,0.426089,0.958842,0.673871,0.299138,0.3012,0.156917,0.947119,0.31644,0.256988,0.244052,0.488172,0
1,0,0,0.294921,0.089286,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04386,0,1,0,1,0,0,1,1,0,0,0.14,0,0.636701,0.415983,0.524189,0.588605,0.433295,0.741914,0.683273,0.954852,0.000551,0.55992,0.895782,0.774741,0.671742,0.175614,0.517871,0
1,0,0,0.163968,0.03125,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002982,0,1,1,0,0.059701,1,0,1,0,0,0.127,0.0195,0.893452,0.378963,0.234627,0.39051,0.923582,0.525141,0.915014,0.001684,0.860641,0.715904,0.814716,0.813441,0.742972,0.446184,0.478834,0
1,0,0,0.062222,0.159286,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008772,0,1,0,1,0,1,0,0,1,0,0.04,0,0.879238,0.638731,0.793032,0.108729,0.729898,0.35705,0.798575,0.857545,0.733364,0.619793,0.151662,0.078702,0.202312,0.599922,0.231647,0
0,1,0,0.141587,0.028214,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002982,0,1,0,1,0,1,0,1,0,0,0.072,0,0.848845,0.301072,0.818056,0.663161,0.339988,0.553829,0.921754,0.882907,0.535471,0.15789,0.1615,0.072776,0.83409,0.896539,0.621756,0
1,0,0,0.533016,0.232143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.035088,0,1,0,1,0,0,1,1,0,0,0,0.00228,0.126413,0.759898,0.920447,0.907744,0.740927,0.471975,0.357644,0.692146,0.917976,0.529204,0.093085,0.076355,0.584258,0.442203,0.681605,0
1,0,0,0.324127,0.098214,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.087719,0,1,0,1,0,0,1,1,0,0,0.116,0.002,0.437804,0.116148,0.42863,0.63779,0.085001,0.283767,0.300678,0.839564,0.54848,0.014446,0.065346,0.685715,0.214462,0.582811,0.362666,0
0,1,0,0.687778,0.011964,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.035088,1,0,0,1,0,0,1,1,0,0,0.126,0.02197,0.192029,0.673149,0.027364,0.532001,0.289791,0.061235,0.94155,0.985283,0.539997,0.279448,0.814421,0.577461,0.829241,0.667364,0.218361,0
